"","Tube","Tree_ID","Stand","dbh_cm","t_height_m","trmt","Ntrmt","Ptrmt","dfromtop","scaled","mass_g","area_cm2","SLA","C","N","N_P","Al","B","Ca","Fe","K","Mg","Mn","P","S","Sr","Zn","s_Ca","s_K","s_Mg","s_Mn","s_Al","s_Zn","s_P","Put","Spd","Spm","Asp","Glu","Arg","Ala","GABA","Val","Ile","Leu","Lys","Pro","total_chl","Chl_A","Chl_B","Chl_R","carot","protein","moisture"
"11","1-111",250,"C8",50.7,25,"Control","noN","noP",-8,1,0.584,78.87081,135.05276,473.85456,17.54296,12.7852,0.01629,0.02463,16.49969,0.04453,13.57741,1.31334,1.03929,1.37213,1.80457,0.07036,0.05356,71.5023,65.13358,11.64669,4.10695,0.00141,0.09996,7.25752,1.25833,9.03035,11.62102,143.0792,267.80163,78.23834,422.64989,122.05774,24.50037,11.47298,33.23464,25.3886,54.26,3.24209,2.22803,1.01406,2.19715,0.48621,2.74,0.673505154639175
"12","1-112",30,"C8",40.8,23,"N treatment","yesN","noP",0,0,0.452,25.88382,57.26509,497.72366,17.45587,13.61199,0.03241,0.02244,4.88511,0.06086,8.47672,0.75809,1.69115,1.28239,1.04559,0.01884,0.01927,26.71133,59.41447,7.29263,7.07296,0.14372,0.01583,9.1,57.24907,33.45725,14.18835,146.90211,233.51921,111.95787,479.24411,450.30979,38.9715,34.57249,55.63817,14.74597,121.69,1.9776,1.39562,0.58198,2.39805,0.39843,6.18236,0.622916666666667
"13","1-113",30,"C8",40.8,23,"N treatment","yesN","noP",-2,0.333333333,0.499,49.93538,100.07091,492.30186,17.43963,12.44705,0.02781,0.02486,6.1329,0.04926,9.82042,0.65725,2.45637,1.40111,1.00145,0.02275,0.02456,23.73637,50.67915,4.29313,8.99511,0.14562,NA,8.12187,60.01609,91.47224,8.84956,199.5173,298.39099,63.31456,657.28077,757.76348,144.89139,125.66372,216.97506,80.69187,235.8,3.23698,2.22721,1.00977,2.20565,0.61045,4.75681,0.620185185185185
"14","1-114",30,"C8",40.8,23,"N treatment","yesN","noP",-4,0.666666667,0.542,60.86439,112.29593,491.94035,15.29503,13.01903,0.022,0.02216,6.49622,0.04035,7.84936,0.65281,2.86025,1.17482,0.86069,0.01986,0.01917,57.44471,85.14956,8.86287,20.62028,0.23922,0.03472,13.23662,80.81818,56.27273,16.45455,221.90909,364.72727,144.90909,610,679.90909,28.45455,16.63636,25.63636,13.45455,150,2.59608,1.81654,0.77954,2.33026,0.50266,5.0969,0.6276
"15","1-115",30,"C8",40.8,23,"N treatment","yesN","noP",-6,1,0.551,67.68374,122.838,487.61434,18.86289,11.69302,0.02579,0.02953,6.40779,0.04944,9.52985,0.8562,2.36877,1.61318,1.07288,0.02461,0.02379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1-116",928,"C8",52.9,25,"N+P treatment","yesN","yesP",0,0,0.486,37.13541,76.41031,498.5437,21.51466,13.454,0.03002,0.02656,5.01412,0.06975,11.92546,0.46248,2.36214,1.59913,1.29113,0.00913,0.01667,20.55054,67.73072,4.49351,8.91708,0.11343,0.02382,9.71149,115.99582,63.98327,9.20021,171.61526,275.90173,290.22478,558.9127,822.32096,141.29639,133.8735,99.73863,28.75065,3184.11,1.40374,1.03695,0.36679,2.82711,0.34964,4.70703,0.577111111111111
"17","1-117",928,"C8",52.9,25,"N+P treatment","yesN","yesP",-2,0.25,0.445,33.06445,74.30213,496.40268,25.8009,14.35232,0.03473,0.02994,4.88593,0.07454,11.89694,0.5522,1.93099,1.79768,1.38621,0.01069,0.01567,23.71666,69.69678,6.72453,8.4684,0.13194,NA,13.46765,125.39903,92.92158,16.7245,217.62665,428.38307,180.84663,721.79042,788.61901,126.50937,121.79042,105.6211,26.43997,1663.91,2.34116,1.6758,0.66535,2.51868,0.46535,3.57724,0.588717948717949
"18","1-118",928,"C8",52.9,25,"N+P treatment","yesN","yesP",-4,0.5,0.432,37.98702,87.93292,490.0974,24.36198,12.13545,0.02873,0.04065,8.32404,0.06024,9.04732,0.99615,3.47422,2.0075,1.44649,0.01713,0.02178,43.05003,52.84417,10.85532,16.70125,0.11121,0.03383,13.68278,33.24503,33.24503,17.61589,203.70861,331.98676,232.98013,658.74172,535.76159,26.55629,15.49669,24.23841,16.15894,89.67,3.42067,2.37233,1.04834,2.26293,0.53442,4.20945,0.613461538461539
"19","1-119",928,"C8",52.9,25,"N+P treatment","yesN","yesP",-6,0.75,0.415,41.42572,99.82102,486.55585,25.89786,13.76548,0.02992,0.04164,11.03932,0.06295,8.54757,1.34757,4.02965,1.88136,1.49538,0.02592,0.03547,37.46539,39.13329,10.01894,13.03162,0.11549,NA,9.97622,22.29299,19.74522,18.19836,114.92266,291.44677,65.05914,427.93449,248.13467,17.7434,6.55141,19.38126,9.19017,67.52,4.22349,2.93687,1.28662,2.28263,0.59443,3.09249,0.634736842105263
"20","1-120",928,"C8",52.9,25,"N+P treatment","yesN","yesP",-8,1,0.416,38.47089,92.4781,482.22745,26.84389,9.45613,0.03583,0.05508,12.1581,0.07562,10.72622,1.64266,3.98118,2.83878,1.72086,0.0284,0.04031,39.08591,50.28666,12.3112,13.22606,0.1259,0.01805,17.01552,24.36392,23.51581,28.06476,159.52197,379.41403,149.88435,454.51041,191.75019,13.64688,3.77795,10.56284,5.85968,63.15,4.01212,2.74588,1.26624,2.16854,0.58063,3.0396,0.655285714285714
